2017-10-31T12:30:40.130+0530 I CONTROL  [main] Trying to start Windows service 'MongoDB'
2017-10-31T12:30:40.131+0530 I CONTROL  [initandlisten] MongoDB starting : pid=11920 port=27018 dbpath=C:/mongo/db1 64-bit host=MICRO_01_141-07
2017-10-31T12:30:40.131+0530 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2017-10-31T12:30:40.131+0530 I CONTROL  [initandlisten] db version v3.4.4
2017-10-31T12:30:40.131+0530 I CONTROL  [initandlisten] git version: 888390515874a9debd1b6c5d36559ca86b44babd
2017-10-31T12:30:40.131+0530 I CONTROL  [initandlisten] allocator: tcmalloc
2017-10-31T12:30:40.131+0530 I CONTROL  [initandlisten] modules: none
2017-10-31T12:30:40.132+0530 I CONTROL  [initandlisten] build environment:
2017-10-31T12:30:40.132+0530 I CONTROL  [initandlisten]     distmod: 2008plus
2017-10-31T12:30:40.132+0530 I CONTROL  [initandlisten]     distarch: x86_64
2017-10-31T12:30:40.132+0530 I CONTROL  [initandlisten]     target_arch: x86_64
2017-10-31T12:30:40.132+0530 I CONTROL  [initandlisten] options: { config: "C:/mongo/db1/config/mongod.conf", net: { bindIp: "localhost", port: 27018 }, replication: { replSetName: "rs0" }, service: true, storage: { dbPath: "C:/mongo/db1", journal: { enabled: true } }, systemLog: { destination: "file", path: "C:/mongo/db1/logs/mongod.log" } }
2017-10-31T12:30:40.133+0530 I -        [initandlisten] Detected data files in C:/mongo/db1 created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2017-10-31T12:30:40.134+0530 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=7679M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-10-31T12:30:40.715+0530 I STORAGE  [initandlisten] Starting WiredTigerRecordStoreThread local.oplog.rs
2017-10-31T12:30:40.715+0530 I STORAGE  [initandlisten] The size storer reports that the oplog contains 133 records totaling to 12766 bytes
2017-10-31T12:30:40.715+0530 I STORAGE  [initandlisten] Scanning the oplog to determine where to place markers for truncation
2017-10-31T12:30:40.758+0530 I CONTROL  [initandlisten] 
2017-10-31T12:30:40.758+0530 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2017-10-31T12:30:40.758+0530 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2017-10-31T12:30:40.758+0530 I CONTROL  [initandlisten] 
2017-10-31T12:30:40.941+0530 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory 'C:/mongo/db1/diagnostic.data'
2017-10-31T12:30:40.942+0530 I STORAGE  [initandlisten] Service running
